tolerance,maxbonddim,u,beta,R,ndims,time_setup,time_makeverts,time_interpolateverts,time_makevertsdiagonal,time_calculatebse,maxlinkdim_full,maxlinkdim_chi0,maxlinkdim_gamma,maxlinkdim_phi,length_full,length_chi0,length_gamma,length_phi,nparameters_full,nparameters_chi0,nparameters_gamma,nparameters_phi
0.01,80,100.0,1.0,4,1,3.5205e-5,1.744e-6,0.747151618,0.044103286,0.013603295,3,1,2,4,1,1,1,1,232,64,120,124
0.01,80,100.0,1.0,5,1,3.9163e-5,1.653e-6,1.404996733,0.067683109,0.023955605,4,1,4,8,1,1,1,1,464,80,484,400
0.01,80,100.0,1.0,6,1,4.1829e-5,1.543e-6,2.232699428,0.054069534,0.037058794,4,1,4,6,1,1,1,1,740,96,728,474
0.01,80,100.0,10.0,2,1,3.4184e-5,1.653e-6,0.042727862,0.010331382,0.008175849,1,1,1,2,1,1,1,1,32,32,32,40
0.01,80,100.0,10.0,3,1,3.6539e-5,1.913e-6,0.13934983,0.018680715,0.015997314,1,1,1,2,1,1,1,1,48,48,48,60
0.01,80,100.0,10.0,4,1,3.6638e-5,1.764e-6,0.253603479,0.022883419,0.030641506,1,1,1,2,1,1,1,1,64,64,64,80
0.01,80,100.0,10.0,5,1,3.7691e-5,1.833e-6,0.481553046,0.046499419,0.034721942,1,1,1,2,1,1,1,1,80,80,80,100
0.01,80,100.0,10.0,6,1,4.796e-5,1.463e-6,0.695407236,0.032091059,0.045090753,1,1,1,2,1,1,1,1,96,96,96,120
0.01,80,100.0,100.0,2,1,3.6048e-5,2.184e-6,0.064241427,0.010130967,0.008814424,1,1,1,2,1,1,1,1,32,32,32,40
0.01,80,100.0,100.0,3,1,3.7681e-5,1.723e-6,0.121608642,0.015140089,0.031448006,1,1,1,2,1,1,1,1,48,48,48,60
0.01,80,100.0,100.0,4,1,4.295e-5,2.144e-6,0.208283807,0.019515848,0.015190484,1,1,1,2,1,1,1,1,64,64,64,80
0.01,80,100.0,100.0,5,1,4.1377e-5,1.614e-6,0.299034759,0.024181538,0.038609395,1,1,1,2,1,1,1,1,80,80,80,100
0.01,80,100.0,100.0,6,1,3.8793e-5,1.903e-6,0.43661174,0.031248802,0.036386456,1,1,1,2,1,1,1,1,96,96,96,120
0.01,60,1.0,1.0,2,1,3.3643e-5,1.693e-6,0.18919051,0.040689177,0.009532307,2,10,4,8,1,1,1,1,88,864,180,312
0.01,60,1.0,1.0,3,1,3.5376e-5,1.313e-6,0.483781062,0.040384566,0.014312862,4,6,6,10,1,1,1,1,396,560,672,726
